codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental,establecimiento_norm,direccion_norm,telefono_norm
16-01-0138-46,16-031,Alta Verapaz,coban,colegio coban,km.2 salida a san juan chamelco z 8,77945104,patricio najarro asencio,gustavo adolfo sierra pop,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,coban,km.2 salida a san juan chamelco z 8,77945104
16-01-0139-46,16-031,Alta Verapaz,coban,colegio particular mixto verapaz,km 209.5 entrada a la ciudad,77367402,patricio najarro asencio,gilma dolores guay paz de leal,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,particular mixto verapaz,km 209.5 entrada a la ciudad,77367402
16-01-0140-46,16-031,Alta Verapaz,coban,colegio la inmaculada,7a. av 11-109 z 6,78232301,patricio najarro asencio,virginia solano serrano,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,la inmaculada,7a. av 11-109 z 6,78232301
16-01-0141-46,16-005,Alta Verapaz,coban,escuela nacional de ciencias comerciales,2a calle 11-10 z 2,79514215,nora liliana figueroa hernández,héctor rolando chun poou,oficial,urbana,monolingue,matutina,diario(regular),alta verapaz,nacional de ciencias comerciales,2a calle 11-10 z 2,79514215
16-01-0142-46,16-005,Alta Verapaz,coban,instituto normal mixto del norte emilio rosales ponce,3a ave 6-23 z 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz,normal mixto del norte emilio rosales ponce,3a ave 6-23 z 11,79521468
16-01-0143-46,16-031,Alta Verapaz,coban,colegio particular mixto imperial,5a. calle 1-9 z 3,57101061,patricio najarro asencio,mynor gustavo ipiña españa,privado,urbana,monolingue,doble,fin de semana,alta verapaz,particular mixto imperial,5a. calle 1-9 z 3,57101061
16-01-0155-46,16-031,Alta Verapaz,coban,liceo moderno latino,11 av 5-17 z 4,79522555,patricio najarro asencio,héctor armando teyul chen,privado,urbana,monolingue,doble,fin de semana,alta verapaz,moderno latino,11 av 5-17 z 4,79522555
16-01-0428-46,16-005,Alta Verapaz,coban,instituto nacional de educacion diversificada,diagonal 08 8-05 z 8 barrio canton las casas,77930045,nora liliana figueroa hernández,helson marco chén gutierrez,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz,nacional de educacion diversificada,diagonal 08 8-05 z 8 barrio canton las casas,77930045
16-01-0558-46,16-005,Alta Verapaz,coban,instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte emilio rosales ponce,3a. ave. 6-23 z 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz,normal preprimaria bilingue adscrito al  normal mixto del norte emilio rosales ponce,3a. ave. 6-23 z 11,79521468
16-01-0559-46,16-005,Alta Verapaz,coban,instituto normal primaria bilingue intercultural ads al instituto emilio rosales ponce,3a. ave. 6-23 z 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz,normal primaria bilingue intercultural ads al  emilio rosales ponce,3a. ave. 6-23 z 11,79521468
16-01-0563-46,16-031,Alta Verapaz,coban,centro de formacion integral las conchas fmg,aldea las conchas,79522793,patricio najarro asencio,david waldemar urrutia choc,privado,rural,monolingue,vespertina,diario(regular),alta verapaz,de formacion integral las conchas fmg,aldea las conchas,79522793
16-01-0573-46,16-031,Alta Verapaz,coban,colegio cristiano bilingue verbo,4a. calle a 4-32 z 8,77945181,patricio najarro asencio,lesly eugenia chocooj vidaurre,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,cristiano bilingue verbo,4a. calle a 4-32 z 8,77945181
16-01-0574-46,16-005,Alta Verapaz,coban,escuela nacional de ciencias comerciales,2a. calle 11-10 z 2,53530198,nora liliana figueroa hernández,héctor rolando chun poou,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz,nacional de ciencias comerciales,2a. calle 11-10 z 2,53530198
16-01-0583-46,16-031,Alta Verapaz,coban,colegio nuevos senderos,3a. calle 3-74 z 3,79417300,patricio najarro asencio,zoyla argentina mollinedo alvarado,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,nuevos senderos,3a. calle 3-74 z 3,79417300
16-01-0609-46,16-031,Alta Verapaz,coban,instituto mixto de educacion bilingue intercultural imebi,lotificacion chivencorral,30367501,patricio najarro asencio,juan pascual lucas antonio,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz,mixto de educacion bilingue intercultural imebi,lotificacion chivencorral,30367501
16-01-0612-46,16-031,Alta Verapaz,coban,instituto de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber,calzada rabin ajau z 1,57565646,patricio najarro asencio,thelma martina pop tzir,privado,rural,bilingue,vespertina,diario(regular),alta verapaz,de magisterio de educacion preprimaria infantil bilingue intercultural luz del saber,calzada rabin ajau z 1,57565646
16-01-0613-46,16-031,Alta Verapaz,coban,colegio particular mixto anton de montesinos,1a. calle 7-22 z 3,77259205,patricio najarro asencio,margarita villalobos ligorría,privado,urbana,monolingue,matutina,diario(regular),alta verapaz,particular mixto anton de montesinos,1a. calle 7-22 z 3,77259205
