establecimiento_canon,direccion_norm,municipio,departamento,codigo,distrito,sector,area,supervisor,director,telefono_norm,modalidad,jornada,plan,departamental
,barrio buenos aires,huite,Zacapa,['19-10-0013-46'],19-015,oficial,urbana,sildy mariela perez franco,wuendy jhojana sierra paz,['48579171'],['monolingue'],['nocturna'],['diario(regular)'],zacapa
academia comercial e  lourdes,5a. av 6-51 a z 1,mixco,Guatemala,"['01-08-1735-46', ""['01-08-0346-46', '01-08-0348-46', '01-08-0869-46']""]",01-621,privado,urbana,marta luz beteta ortiz de jordan,esteban tocon xicay,['55184534'],"[""['monolingue', 'monolingue', 'monolingue']"", 'monolingue']","[""['doble', 'doble', 'sin jornada']"", 'vespertina']","[""['fin de semana', 'fin de semana', 'semipresencial (fin de semana)']"", 'diario(regular)']",guatemala occidente
academia de estudios avanzados f15,15 av a 24-08,zona 13,Guatemala,['00-13-7170-46'],01-501,privado,urbana,julio jacobo gil urbina,alma ileana barrios barrios,['23322290'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
academia internacional de altos suenos,aldea tululche,zaragoza,Chimaltenango,['04-15-0039-46'],04-008,privado,rural,corina argelia rodas serrano,debora julissa brizuela mindiz,['49030549'],['monolingue'],['matutina'],['diario(regular)'],chimaltenango
academia multicultural atitlan,1a. av 0-68 z 2,panajachel,Solola,['07-10-3075-46'],07-011,privado,urbana,porfirio geremias par chavajay,lucía eugenia xon corado,['77620490'],['monolingue'],['vespertina'],['diario(regular)'],sololá
activa jalapa,calle transito rojas 8-87 z 5,jalapa,Jalapa,['21-01-0442-46'],21-004,privado,urbana,victor manuel portillo recinos,francisca del rosario girón gálvez,['42162646'],['monolingue'],['vespertina'],['diario(regular)'],jalapa
activo bilingue,3a. av 11-53,zona 1,Guatemala,['00-01-8999-46'],01-312,privado,urbana,amado salomon flores perez,liliana maría cruz armijo,['22380831'],['monolingue'],['matutina'],['diario(regular)'],guatemala norte
activo bilingue nueva guatemala,1a. av. 0-45 z 1 barrio la esperanza,jalapa,Jalapa,"[""['21-01-0426-46', '21-01-0427-46', '21-01-0428-46']""]","['21-004', '21-004', '21-004']","['privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana']","['victor manuel portillo recinos', 'victor manuel portillo recinos', 'victor manuel portillo recinos']","['denisse evelin castellanos fuentes', 'denisse evelin castellanos fuentes', 'denisse evelin castellanos fuentes']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'sin jornada']""]","[""['diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",jalapa
adolfo v hall,kilometro 161 entrada a santa cruz del quiche antigua z militar,santa cruz del quiche,Quiche,['14-01-0077-46'],14-001,oficial,urbana,jose oscar tipaz velasquez,aram albert jordán sandoval,['77551548'],['monolingue'],['matutina'],['diario(regular)'],quiché
adolfo v hall central,7a ave. finca la aurora,zona 13,Guatemala,['00-13-0940-46'],01-501,oficial,urbana,julio jacobo gil urbina,aram albert jordán sandoval,['22913737'],['monolingue'],['doble'],['diario(regular)'],guatemala oriente
adolfo v hall central,7a. av finca la aurora,zona 13,Guatemala,['00-13-0016-46'],01-501,oficial,urbana,julio jacobo gil urbina,aram albert jordán sandoval,['24191300'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
adolfo v hall de jalapa,caserio llano grande km. 166.9,jalapa,Jalapa,['21-01-0902-46'],21-002,oficial,urbana,jorge adelino perez ucelo,juan carlos najera valle,['79224560'],['monolingue'],['doble'],['diario(regular)'],jalapa
adolfo v hall de occidente,3a. av 11-154 z 1,san marcos,San Marcos,['12-01-0049-46'],12-001,oficial,urbana,enio relman maldonado solis,josé jonatán méndez acevedo,['44974285'],['monolingue'],['doble'],['diario(regular)'],san marcos
adolfo v hall de occidente,3av. 11-154 z 1,san marcos,San Marcos,['12-01-0100-46'],12-001,oficial,urbana,enio relman maldonado solis,josé jonatán méndez acevedo,['44974285'],['monolingue'],['matutina'],['diario(regular)'],san marcos
adolfo v hall de oriente,barrio cruz de mayo z 3,zacapa,Zacapa,['19-01-0084-46'],19-001,oficial,urbana,sonia haydee ruiz wong,raúl anibal pineda peñate,['39913254'],['monolingue'],['doble'],['diario(regular)'],zacapa
adolfo v hall del norte,3a. calle a 3-68 z 4 barrio bella vista,san pedro carcha,Alta Verapaz,['16-09-0717-46'],16-033,oficial,urbana,oscar rené ventura zac,herberth haroldo belteton chiquin,['79516463'],['monolingue'],['doble'],['diario(regular)'],alta verapaz
ads al ineb dr david guerra guzman,2a calle entre 11 y 12 avenidas z 1,chiquimula,Chiquimula,['20-01-0029-46'],20-001,oficial,urbana,cesar adalberto noguera jacome,romeo rivera chacón,['79420395'],['monolingue'],['vespertina'],['diario(regular)'],chiquimula
adsc al ineb doctor werner ovalle lopez,25 av 4a y 7a calles z 3,quetzaltenango,Quetzaltenango,['09-01-0826-46'],09-005,oficial,urbana,juan carlos ronquillo de leon,luis orlando lópez ramos,['77636628'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
adsc al ineb doctor werner ovalle lopez,25 av 4a. calle z 3,quetzaltenango,Quetzaltenango,['09-01-0419-46'],09-005,oficial,urbana,juan carlos ronquillo de leon,luis orlando lópez ramos,['56254412'],['monolingue'],['doble'],['diario(regular)'],quetzaltenango
adscrito al  de educacion media experimental con orientacion ocupacional jose rodriguez cerna,7a. av a final y 9a. calle z 2 barrio la reforma,zacapa,Zacapa,['19-01-0078-46'],19-001,oficial,urbana,sonia haydee ruiz wong,marco antonio lópez ramos,['79414031'],['monolingue'],['vespertina'],['diario(regular)'],zacapa
adventista bethania,7a. av entre 14 y 15 calle,puerto barrios,Izabal,['18-01-0464-46'],18-008,privado,urbana,elena elizabeth suchite garnica de quintanilla,silvia odena navas arias,['30376084'],['monolingue'],['vespertina'],['diario(regular)'],izabal
adventista de peten,18 calle 1a. z 1 san benito peten,san benito,Peten,['17-03-0102-46'],17-003,privado,urbana,deylin antonio alvarez aldana,evelyn marisol hernández collí,['79263234'],['monolingue'],['matutina'],['diario(regular)'],petén
adventista el progreso,2da. calle 35-44 colonia toledo,zona 7,Guatemala,['00-07-0100-46'],01-619,privado,urbana,juan waldemar cabrera mendez,claudia astrid davila gutierrez,['24386829'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
adventista el sinai,1a. diagonal 2-32 z 1,ipala,Chiquimula,['20-11-0042-46'],20-018,privado,urbana,nilda maritza arroyo rodriguez,sandra yanet vásquez,['32225632'],['monolingue'],['matutina'],['diario(regular)'],chiquimula
adventista elena g de white,barrio la capitania,livingston,Izabal,['18-02-0400-46'],18-011,privado,urbana,juan osvaldo estero martinez,marta arlenne zetina zurita,['54700892'],['monolingue'],['matutina'],['diario(regular)'],izabal
adventista enmanuel,lote 105 aldea  dos,nueva concepcion,Escuintla,['05-13-2369-46'],05-019,privado,rural,jaime antulio estrada soto,alexander antonio tobar,['58939354'],['monolingue'],['vespertina'],['diario(regular)'],escuintla
adventista getsemani,1ra. calle 8va. av z 1,las cruces,Peten,['17-13-0157-46'],17-025,privado,urbana,fidel omar hernández ramírez,dalida anayanza hernandez ramirez,['40720870'],['monolingue'],['matutina'],['diario(regular)'],petén
adventista getsemani,z 1,las cruces,Peten,['17-13-0105-46'],17-025,privado,rural,fidel omar hernández ramírez,dálida anayanza hernández ramírez,['30376084'],['monolingue'],['vespertina'],['diario(regular)'],petén
adventista maranatha,4ta. calle 0-10 de la z 2,totonicapan,Totonicapan,['08-01-0238-46'],08-024,privado,rural,miguel ajpop vasquez,patrocinio abelino tzul barreno,['77661520'],['monolingue'],['matutina'],['diario(regular)'],totonicapán
adventista maranatha,cabecera municipal,la blanca,San Marcos,"[""['12-30-0051-46', '12-30-0085-46']""]","['12-107', '12-093']","['privado', 'privado']","['urbana', 'urbana']","['juan jose tobar tebalan', 'juan josé tobar tebalan']","['lilian eloisa peralta ramírez', 'lilian eloisa peralta ramírez']",[],"[""['monolingue', 'monolingue']""]","[""['vespertina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (un día a la semana)']""]",san marcos
adventista moises tahay,20 av 0-65 z 3 quetzaltenango,quetzaltenango,Quetzaltenango,['09-01-0339-46'],09-006,privado,urbana,pedro gerónimo sarat chaj,mayra marisol villeda moscoso,['77615808'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
adventista moria,2a. av. a 0-84 z 2 barrio san francisco,jalapa,Jalapa,['21-01-0377-46'],21-004,privado,urbana,victor manuel portillo recinos,widmer ronel paz colindres,['79222901'],['monolingue'],['matutina'],['diario(regular)'],jalapa
adventista orion,calle el cementerio no. 28,jocotenango,Sacatepequez,['03-02-0029-46'],03-003,privado,urbana,juventino perez sican,jeniffer maría hernández juan,['79659726'],['monolingue'],['vespertina'],['diario(regular)'],sacatepéquez
adventista redencion,14 callejon 3-11 z 2 colonia villa lorena,quezaltepeque,Chiquimula,['20-09-0064-46'],20-038,privado,urbana,ricardo uriel samayoa trigueros,blanca edina pérez felipe,['47005938'],['monolingue'],['matutina'],['diario(regular)'],chiquimula
agroecologico de educacion bilingue fray domingo de vico,barrio san pedro,santa maria cahabon,Alta Verapaz,['16-12-0182-46'],16-022,privado,urbana,horacio waldemar juárez argueta,josé filiberto quim xol,['30708664'],['bilingue'],['matutina'],['diario(regular)'],alta verapaz
agustiniano,5a av 23-55 condado naranjo z 4 mixco,mixco,Guatemala,['01-08-0451-46'],01-604,privado,urbana,emora emperatriz cruz de fuentes,wendy julissa lópez mijangos,['23008686'],['monolingue'],['matutina'],['diario(regular)'],guatemala occidente
akaltic,0 calle b oc 150 z 4 de la villa de tactic,tactic,Alta Verapaz,['16-04-8321-46'],16-009,privado,urbana,ruben dario caal cú,ana eliza peláez ponce,['79539043'],['monolingue'],['doble'],['fin de semana'],alta verapaz
akaltic,0 calle b oc-150 z 4,tactic,Alta Verapaz,"[""['16-04-0050-46', '16-04-0124-46']""]","['16-009', '16-009']","['privado', 'privado']","['urbana', 'urbana']","['ruben dario caal cú', 'ruben dario caal cú']","['ana eliza peláez ponce', 'ana eliza peláez ponce']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (fin de semana)']""]",alta verapaz
akaltic,o calle b oc-150 z 4.,tactic,Alta Verapaz,['16-04-2308-46'],16-009,privado,urbana,ruben dario caal cú,ana eliza peláez ponce,['79539043'],['monolingue'],['vespertina'],['diario(regular)'],alta verapaz
albert einstein,15 av 0-42 z 1,quetzaltenango,Quetzaltenango,"[""['09-01-0225-46', '09-01-0505-46']""]","['09-041', '09-041']","['privado', 'privado']","['urbana', 'urbana']","['wilson ranferi siguenza lopez', 'wilson ranferi siguenza lopez']","['amilcar leonel aguilar rivera', 'amilcar leonel aguilar rivera']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'sin jornada']""]","[""['diario(regular)', 'semipresencial (fin de semana)']""]",quetzaltenango
aleman de guatemala,diagonal 21 19-20,zona 11,Guatemala,['00-11-0854-46'],01-209,privado,urbana,miriam del carmen orozco hernandez,eswin noe rosales lópez,['22683333'],['monolingue'],['matutina'],['diario(regular)'],guatemala sur
alfa y omega,manzana 4 lote 31 z 0 lotificacion joyas del golfo,san jose del golfo,Guatemala,"[""['01-04-0017-46', '01-04-0020-46', '01-04-0028-46']""]","['01-113', '01-113', '01-113']","['privado', 'privado', 'privado']","['rural', 'rural', 'rural']","['maría roxana peláez herrera', 'maría roxana peláez herrera', 'maría roxana peláez herrera']","['lilian mariela castro sandoval', 'lilian mariela castro sandoval', 'lilian mariela castro sandoval']",[],"[""['monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'vespertina']""]","[""['diario(regular)', 'fin de semana', 'diario(regular)']""]",guatemala norte
alpha y omega,av 30 de junio 0-162 z 1,san jose,Escuintla,"[""['05-09-0037-46', '05-09-0461-46']""]","['05-015', '05-015']","['privado', 'privado']","['urbana', 'urbana']","['telma enriqueta grajeda martinez', 'telma enriqueta grajeda martinez']","['alann roberto genovez salazar', 'alann roberto genovez salazar']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'vespertina']""]","[""['diario(regular)', 'diario(regular)']""]",escuintla
alpha y omega,ave. 30 de junio 0-162 z 1,san jose,Escuintla,['05-09-0054-46'],05-015,privado,urbana,telma enriqueta grajeda martinez,alann roberto genovez salazar,['78811783'],['monolingue'],['doble'],['diario(regular)'],escuintla
altamira,13 calle 6-24 z 10 ciudad de guatemala,zona 10,Guatemala,['00-10-0038-46'],01-503,privado,urbana,nancy carolina navas gonzález,alba maricela jor portillo,['59464229'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
altamira,1era.calle 20-55 z 15 vista hermosa ii guatemala guatemala,zona 15,Guatemala,['00-15-0010-46'],01-314,privado,urbana,plinio ivan hernandez,alba maricela jor portillo,['23690752'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
alto desempeno academico libertador,diagonal 11 d 12-03 z 1 barrio las flores,quetzaltenango,Quetzaltenango,['09-01-0358-46'],09-041,privado,urbana,wilson ranferi siguenza lopez,míriam verónica escobar arriola,['56332394'],['monolingue'],['vespertina'],['diario(regular)'],quetzaltenango
alvarado,5a. calle 2-80 z 1 aldea boca del monte,villa canales,Guatemala,['01-16-0095-46'],01-217,privado,rural,carlos anibal lopez,paola concepción alvarado garcía,['24427129'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
alvarez ovalle,barrio los castro,morales,Izabal,"[""['18-04-0174-46', '18-04-0176-46']""]","['18-039', '18-039']","['privado', 'privado']","['urbana', 'urbana']","['elsa yadira martinez perez', 'elsa yadira martinez perez']","['claudia lorena quinteros arreaga', 'claudia lorena quinteros arreaga']",[],"[""['monolingue', 'monolingue']""]","[""['doble', 'vespertina']""]","[""['fin de semana', 'diario(regular)']""]",izabal
alvarez ovalle,barrios los castro,morales,Izabal,['18-04-0228-46'],18-039,privado,urbana,elsa yadira martinez perez,claudia lorena quinteros arreaga,[],['monolingue'],['doble'],['fin de semana'],izabal
alvarez ovalle,barro los castro,morales,Izabal,['18-04-0503-46'],18-039,privado,urbana,elsa yadira martinez perez,claudia lorena quinteros arreaga,['42601313'],['monolingue'],['sin jornada'],['semipresencial (fin de semana)'],izabal
americano,cabecera municipal,pajapita,San Marcos,"[""['12-22-0027-46', '12-22-0028-46', '12-22-0029-46', '12-22-0039-46']""]","['12-124', '12-124', '12-124', '12-124']","['privado', 'privado', 'privado', 'privado']","['urbana', 'urbana', 'urbana', 'urbana']","['kandy rossana de leon moran', 'kandy rossana de leon moran', 'kandy rossana de leon moran', 'kandy rossana de leon moran']","['yojaira graciela lópez ramírez', 'yojaira graciela lópez ramírez', 'yojaira graciela lópez ramírez', 'yojaira graciela lópez ramírez']",[],"[""['monolingue', 'monolingue', 'monolingue', 'monolingue']""]","[""['vespertina', 'doble', 'doble', 'sin jornada']""]","[""['diario(regular)', 'diario(regular)', 'fin de semana', 'semipresencial (un día a la semana)']""]",san marcos
americano de guatemala,11 calle 15-79 vista hermosa iii,zona 15,Guatemala,['00-15-0988-46'],01-314,privado,urbana,plinio ivan hernandez,maría teresa del valle quezada,['25009595'],['monolingue'],['matutina'],['diario(regular)'],guatemala oriente
americano de occidente west american school,9a. calle 24-35 z 3,quetzaltenango,Quetzaltenango,['09-01-0317-46'],09-002,privado,urbana,rosemery guadalupe piedrasanta gramajo de siguenza,carlos peter fuentes chavez,['30797058'],['monolingue'],['matutina'],['diario(regular)'],quetzaltenango
americano del norte,5ta. av 2-23 z 4,coban,Alta Verapaz,['16-01-0664-46'],16-031,privado,urbana,patricio najarro asencio,josé cupertino reyes garcia,['79514754'],['monolingue'],['matutina'],['diario(regular)'],alta verapaz
americano del norte,5ta. calle 2-23 z 4,coban,Alta Verapaz,"[""['16-01-0481-46', '16-01-0483-46']""]","['16-031', '16-031']","['privado', 'privado']","['urbana', 'urbana']","['patricio najarro asencio', 'patricio najarro asencio']","['josé cupertino reyes garcia', 'josé cupertino reyes garcia']",[],"[""['monolingue', 'monolingue']""]","[""['matutina', 'doble']""]","[""['diario(regular)', 'fin de semana']""]",alta verapaz
americano del sur,km. 92.5 finca camantulul,santa lucia cotzumalguapa,Escuintla,['05-02-2558-46'],05-007,privado,rural,juan francisco godoy davila,maría de los angeles morales posadas,['79552800'],['monolingue'],['matutina'],['diario(regular)'],escuintla
