16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,NORA LILIANA FIGUEROA HERNÁNDEZ,HÉCTOR ROLANDO CHUN POOU,OFICIAL,URBANA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,sector,area,modalidad,jornada,plan,departamental
16-01-0138-46,16-031,alta verapaz,coban,colegio coban,km.2 salida a san juan chamelco zona 8,77945104,patricio najarro asencio,gustavo adolfo sierra pop,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0139-46,16-031,alta verapaz,coban,colegio particular mixto verapaz,km 209.5 entrada a la ciudad,77367402,patricio najarro asencio,gilma dolores guay paz de leal,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0140-46,16-031,alta verapaz,coban,"colegio ""la inmaculada""",7a. avenida 11-109 zona 6,78232301,patricio najarro asencio,virginia solano serrano,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0141-46,16-005,alta verapaz,coban,escuela nacional de ciencias comerciales,2a calle 11-10 zona 2,79514215,nora liliana figueroa hernández,héctor rolando chun poou,oficial,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0142-46,16-005,alta verapaz,coban,instituto normal mixto del norte 'emilio rosales ponce',3a ave 6-23 zona 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,bilingue,vespertina,diario(regular),alta verapaz
16-01-0143-46,16-031,alta verapaz,coban,colegio particular mixto imperial,5a. calle 1-9 zona 3,57101061,patricio najarro asencio,mynor gustavo ipiña españa,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0155-46,16-031,alta verapaz,coban,"liceo ""moderno latino""",11 avenida 5-17 zona 4,79522555,patricio najarro asencio,héctor armando teyul chen,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0428-46,16-005,alta verapaz,coban,instituto nacional de educacion diversificada,"diagonal 08 8-05 zona 8, barrio cantón las casas",77930045,nora liliana figueroa hernández,helson marco chén gutierrez,oficial,rural,monolingue,vespertina,diario(regular),alta verapaz
16-01-0471-46,16-031,alta verapaz,coban,"colegio de informatica ""ceninfav""",12 av. 2-12 zona 1,79545566,patricio najarro asencio,maria magdalena bol cu,privado,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-0481-46,16-031,alta verapaz,coban,liceo americano del norte,5ta. calle 2-23 zona 4,79514754,patricio najarro asencio,josé cupertino reyes garcia,privado,urbana,monolingue,matutina,diario(regular),alta verapaz
16-01-0483-46,16-031,alta verapaz,coban,liceo americano del norte,5ta. calle 2-23 zona 4,79514754,patricio najarro asencio,josé cupertino reyes garcia,privado,urbana,monolingue,doble,fin de semana,alta verapaz
16-01-0558-46,16-005,alta verapaz,coban,"instituto normal preprimaria bilingue adscrito al instituto normal mixto del norte ""emilio rosales ponce""",3a. ave. 6-23 zona 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz
16-01-0559-46,16-005,alta verapaz,coban,instituto normal primaria bilingue intercultural ads. al instituto emilio rosales ponce,3a. ave. 6-23 zona 11,79521468,nora liliana figueroa hernández,victor hugo domínguez reyes,oficial,urbana,monolingue,vespertina,diario(regular),alta verapaz
